Room Name,Room ID,Ceiling Height (mm),Wall IDs,Notes
Kitchen,SKT75,12190,72 82 91 93,
Hallway,SKT7,12190,3 14 22 26 83 94 115 116 120,
Living Room,SKT42,12320,38 70 77 80 91 93 94 102 114 121 136,
Closet,SKT13,12320,11 99 104 131,
Closet,SKT10,12320,8 99 105 120,
Closet,SKT25,12191.999999999998,22 97 107 114,
Closet,SKT41,12191.999999999998,38 97 108 137,
Bedroom,SKT32,11050,29 58 64 87 95 106 135 136 137 138,
Primary Bedroom,SKT6,12445,3 8 11 18 48 54 66 113,
3PC Ensuite,SKT21,11940,18 113 116 124 126 138,
Bedroom,SKT17,12445,14 34 61 101 104 105 119 121,
Closet,SKT37,12191.999999999998,34 101 115 118,
Foyer/Entry,SKT46,10795,43 56 90 106 117,
4PC Bathroom,SKT28,11810,26 107 108 124 135,
Garage,SKT47,11940,43 51 67 112 122 123 133,
Storage Area/Room,SKT69,12191.999999999998,67 127 129 134,
Closet,SKT89,11175,87 95 117 132,
Hallway,SKT33,10920,29 77 90 110 112,
Kitchen,SKT76,11305,72 78 110 122,
Utility Room,SKT86,12065,83 102 118 119,
